sead-result,title,sead-details,veritas-tag,sender
Be Careful with this message,Your MetaMask wallet will be suspended,No Record in Sent items\ninfo@sofamekar.com is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@sofamekar.com)\nUndefined Category Domain\n@sofamekar.com is a unkown domain among\nsecurity companies.,e.veritas:Phishing,_ MetaMask <info@sofamekar.com>
This email seems dangerous,Netflix : We're having some trouble with your current billing information,Malicious Internet Link\nDomain of Internet Link\n(@myluxekids.com) has very bad\nreputation.\nNo Record in Sent items\nnoreply@come-in-vr.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(noreply@come-in-vr.com)\nUndefined Category Domain\n@come-in-vr.com is a unkown domain\namong security companies.,e.veritas:Legitimate,_ Netflix <noreply@come-in-vr.com>
This message looks secure,Your shipment is on the way,No Record in Sent items\ninfo.fastway.co.za_info.fastway.co.za_info.fas\ntway.co.za154565@em5269.xfund02.ml is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info.fastway.co.za_info.fastway.co.za_info.fa\nstway.co.za154565@em5269.xfund02.ml),e.veritas: Weming,_ Fastway <info.fastway.co.za_info.fastway.co.za_info.fastway.co.za154565@em5269.xfund0<
Be Careful with this message,Netflix : We're having some trouble with your current billing information,Malicious Internet Link\nDomain of Internet Link (@woocommerce-\n705815-2339996.cloudwaysapps.com) is\nsuspected of a malicious site.\nNo Record in Sent items\ninfo.help-center.co.za_info.help-\ncenter.co.za_info.help-\ncenter.co.za177005@em5269.xfund02.ml is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info.help-center.co.za_info.help-\ncenter.co.za_info.help-\ncenter.co.za177005@em5269.xfund02.ml),e.veritas: Weming,- Help Center <info.help-center.co.za_info.help-center.co.za_info.help-center.co.za177005@
Be Careful with this message,Netflix : We're having some trouble with your current billing information,No Record in Sent items\ninfo.help-center.co.za_info.help-\ncenter.co.za_info.help-\ncenter.co.za852682@em5269.xfund02.ml is\nnot recorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info.help-center.co.za_info.help-\ncenter.co.za_info.help-\ncenter.co.za852682@em5269.xfund02.ml)\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas: Weming,~ Help Center <info.help-center.co.za_info.help-center.co.za_info.help-center.co.za852682@
Be Careful with this message,Netflix : We're having some trouble with your current billing information,No Record in Sent items\nhelp-\ncenter2010726627 181436388024246@amik\nushealth.com is not recorded in the recently\nsent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(help-\ncenter2010726627 181436388024246@amik\nushealth.com)\nUndefined Category Domain\n@amikushealth.com is a unkown domain\namong security companies.\nSuspicious phishing\nSome phrases used in phishing emails are\nincluded,e.veritas:Legitimate,~ Help Center <help-center2010726627 181436388024246@amikushealth.com>
Be Careful with this message,Rectify Your Password With monkey.org,Suspected Malicious Sender\n@monkey.orgis a malicious categoried\ndomain.\nNo Record in Sent items\nHELPDESK@monkey.org is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(HELPDESK@monkey.org),e.veritas:Phishing,~ monkey.org <HELPDESK@monkey.org>
This message looks secure,Receipt for Your Payment to FTX.,No Record in Sent items\ninfo@advantageapartments.com is not\nrecorded in the recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(info@advantageapartments.com),e.veritas:Legitimate,_ info advantageapartments.com <info@advantageapartments.com>
This message looks secure,Jeanette.rodriguez@mcft.com sent you Product Sample and Specifications.pdf via We,No Record in Sent items\nno_reply@wetransfer.com is not recorded in\nthe recently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(no_reply@wetransfer.com),e.veritas:Phishing,_ WeTransfer <no_reply@wetransfer.com>
This message looks secure,Queued Messages Notification,No Record in Sent items\ninbox@inbox.org is not recorded in the\nrecently sent mailbox.\nExternal Sender\nThis email is sent from outside of company.\n(inbox @inbox.org),e.veritas:Legitimate,- monkey.org Support <inbox@inbox.org>
